name,comments,labels,pull_request,state,reactions,user,author_association
Postgres adapter does not cast ActiveSupport::Duration to interval in array condition,2,activerecord-attached PR-PostgreSQL,no,open,0,aramgre,NONE
Unify select tag helpers nil value handling,0,actionview,no,open,0,jonathanhefner,MEMBER
Prefer value before type cast in form tag helpers,0,actionview,no,open,0,jonathanhefner,MEMBER
Better Documentation for rails new,4,docs,no,open,0,ChaelCodes,CONTRIBUTOR
Add Active Model `Collection` attribute type,3,activemodel,no,open,0,nvasilevski,CONTRIBUTOR
Lazy iterator, interlock deadlock,0,activerecord,no,open,0,mthorn,NONE
Model#save! should not update instance attributes that are already set,0,activemodel-activerecord,no,open,0,akostadinov,CONTRIBUTOR
Reversed attribute precedence in insert_all,0,activerecord,no,open,0,kobsy,CONTRIBUTOR
Non-nullable field with default value raises ActiveRecord::Encryption::Errors::Decryption when absent,3,null,no,open,0,airled,NONE
css:install:bootstrap doesn't complete successfully,4,null,no,open,0,MattBudz,NONE
ActiveRecord::Sanitization::ClassMethods#sanitize_sql surrounds Numerics with quotes,9,activerecord,no,open,0,rbgrouleff,NONE
Add docs about how to use remote browser in test,1,docs,no,open,0,viktorianer,NONE
Always heed `ActiveModel::Name#human` `:count` option,0,activemodel,no,open,0,jonathanhefner,MEMBER
Improve requiring of scalar parameters,0,actionpack-actionmailbox,no,open,0,p8,MEMBER
Update RDoc comments for #redirect,0,actionpack,no,open,0,guillaumecabanel,NONE
Not depending on unmaintained dependencies,3,asset pipeline,no,open,0,Segaja,NONE
Support declarative-style test name filters,0,railties,no,open,0,jonathanhefner,MEMBER
Action mailbox migration does not respect the active record's primary_key_type,1,actionmailbox,no,open,0,ExMember,CONTRIBUTOR
Fix handling disabled schema dumping for test environment,0,activerecord,no,open,0,fatkodima,CONTRIBUTOR
Allow CSRF tokens to be stored outside of session.,29,actionpack-activerecord-docs-actionview-activejob-activestorage-actiontext,no,open,0,simbasdad,NONE
Skip schema load when schema_dump is false,8,activerecord,no,open,0,aliismayilov,CONTRIBUTOR
Support reading `FormBuilder#id` from `id:` option,0,actionview,no,open,0,seanpdoyle,CONTRIBUTOR
form_with: ensure closing tag when omitting block,3,actionview,no,open,0,seanpdoyle,CONTRIBUTOR
[ci skip] Add Action Text guide to the navigation,0,docs,no,open,0,sedubois,CONTRIBUTOR
[ci skip] Add Mobility Action Text to the guides,0,docs,no,open,0,sedubois,CONTRIBUTOR
references/belongs_to method create a column as integer when migration version is 6.0 even if we use PostgreSQL/MySQL,4,activerecord-attached PR-PostgreSQL-With reproduction steps,no,open,0,willnet,CONTRIBUTOR
Missing zeitwerk synchronization in rails 7.0.2.2 and ruby 3.1.0,5,null,no,open,0,mildred,NONE
deadlock in activesupport 7.0.1 (ruby 3.1.0),6,activesupport,no,open,0,mildred,NONE
Fix invalid durations with ActiveJob deserialization,0,activejob,no,open,0,jdelStrother,CONTRIBUTOR
ActionController::RoutingError (No route matches [GET]  /assets/application.js....) ,1,null,no,open,0,simonsapiel,NONE
StiPreload implementation from Rails Guides results in uninitialized constant errors on Rails 7,17,null,no,open,0,dwillett,NONE
ActiveStorage controllers leak ActiveRecord database connections,7,activerecord-activestorage,no,open,0,bubba,CONTRIBUTOR
conflicts between css and js file,1,asset pipeline,no,open,0,martindemello,NONE
Warn on instantiating records w/ ambiguous columns,0,activerecord,no,open,0,khasinski,CONTRIBUTOR
Speed up missing query ,0,activerecord,no,open,0,nikolai-b,CONTRIBUTOR
DateTime calculation functions use other timezone offset than the original time,5,activesupport,no,open,0,emilkappert,NONE
ActionController defaulting response to turbo_stream,7,null,no,open,0,dvodvo,NONE
Add column does not respect :if_not_exists,4,activerecord,no,open,0,HarlemSquirrel,NONE
Update and rename getting_started.md to 0-0-0-0-0_getting_started.md,0,docs,no,open,0,Matteo85,NONE
Add Rails configurations to  about  command and page.,2,railties,no,open,0,p8,MEMBER
Fix exception on EtagWithFlash when api_only,0,actionpack,no,open,0,mihaic195,CONTRIBUTOR
Move abstract_mysql_adapter_test to mysql2 directory,2,activerecord,no,open,0,sikachu,MEMBER
Add yarn install into bin/setup when not using importmap,0,railties,no,open,0,duduribeiro,CONTRIBUTOR
Add `ActiveRecord::Base::generates_token_for`,0,activerecord,no,open,0,jonathanhefner,MEMBER
Fix ActiveSupport::Instrumenter: nil can't be coerced into Float,1,activesupport,no,open,0,mihaic195,CONTRIBUTOR
Rails reload! (both in console and using the reloader.reload!) hangs with multi-threaded applications,0,null,no,open,0,mensfeld,NONE
Basic Rails 7 project with Bootstrap fails,11,null,no,open,0,LukevanTricht,NONE
ActiveStorage proxy with rails api only requiring Flash middleware,6,null,no,open,0,uxxman,CONTRIBUTOR
Add `MessageVerifiers` and `MessageEncryptors` classes,0,activesupport-railties,no,open,0,jonathanhefner,MEMBER
Add net-http dependency to frameworks using mail,7,actionmailer-actionmailbox,no,open,0,composerinteralia,MEMBER
Rails 7: link_to delete not working (wrong redirect),9,actionview,no,open,0,collimarco,NONE
[Rails 7] load_async for find_by_sql & Base.connection.execute,4,null,no,open,0,OskarEichler,NONE
[ActiveStorage::Variant] Calling `variant.key` on a preloaded object should not trigger a database `Load`,1,activestorage,no,open,0,nduitz,NONE
rails 7.0.1 does not deliver updated assets in a dev environment if they've been previously precompiled.,7,null,no,open,0,thebravoman,NONE
